CAM	participantCAM	id	daughterID	motherID	intensity	agreement	isBidirectional	isDeletable	isActive
2159	chrost2_2159	31208	31330	31341	9	1	0	NA	NA
2159	chrost2_2159	31207	31330	31333	9	1	1	NA	NA
2159	chrost2_2159	31206	31294	31330	9	1	1	NA	NA
2159	chrost2_2159	31205	31299	31334	9	1	1	NA	NA
2159	chrost2_2159	31201	31294	31327	6	1	1	NA	NA
2159	chrost2_2159	31187	31294	31301	9	1	1	NA	NA
2159	chrost2_2159	31186	31294	31299	9	1	1	NA	NA
2159	chrost2_2159	31184	31299	31308	9	1	1	NA	NA
2159	chrost2_2159	31162	31299	31304	9	1	1	NA	NA
2204	cofrni2_2204	31975	32007	32018	6	1	0	NA	NA
2204	cofrni2_2204	31974	32005	32006	6	1	0	NA	NA
2204	cofrni2_2204	31973	32010	32017	6	1	0	NA	NA
2204	cofrni2_2204	31972	32015	32016	6	1	0	NA	NA
2204	cofrni2_2204	31971	32012	32015	6	1	0	NA	NA
2204	cofrni2_2204	31970	32004	32013	6	1	0	NA	NA
2204	cofrni2_2204	31969	32004	32010	6	1	0	NA	NA
2204	cofrni2_2204	31968	32004	32007	6	1	0	NA	NA
2204	cofrni2_2204	31967	32004	32006	6	1	0	NA	NA
2204	cofrni2_2204	31966	32004	32015	6	0	0	NA	NA
2204	cofrni2_2204	31965	32004	32018	6	1	0	NA	NA
2204	cofrni2_2204	31964	32004	32012	6	1	0	NA	NA
2204	cofrni2_2204	31963	32004	32014	6	0	0	NA	NA
2204	cofrni2_2204	31962	32004	32011	6	1	0	NA	NA
2204	cofrni2_2204	31961	32004	32017	6	1	0	NA	NA
2204	cofrni2_2204	31960	32004	32008	6	1	0	NA	NA
2204	cofrni2_2204	31959	32004	32016	6	0	0	NA	NA
2204	cofrni2_2204	31958	32004	32005	6	1	0	NA	NA
2204	cofrni2_2204	31957	32004	32009	6	1	0	NA	NA
2140	crjori2_2140	30844	30891	30943	9	0	0	NA	NA
2140	crjori2_2140	30840	30891	31075	6	0	0	NA	NA
2140	crjori2_2140	30835	31051	31062	6	1	0	NA	NA
2140	crjori2_2140	30833	31035	31062	6	1	0	NA	NA
2140	crjori2_2140	30828	30891	31062	9	1	0	NA	NA
2140	crjori2_2140	30710	30912	30917	6	1	0	NA	NA
2140	crjori2_2140	30707	30917	30931	9	1	0	NA	NA
2140	crjori2_2140	30705	30917	30936	9	1	0	NA	NA
2140	crjori2_2140	30697	30891	30912	6	1	0	NA	NA
2140	crjori2_2140	30696	30891	30943	6	1	0	NA	NA
2140	crjori2_2140	30686	30943	30957	9	1	0	NA	NA
2140	crjori2_2140	30679	30943	30972	6	1	0	NA	NA
2140	crjori2_2140	30675	30943	30957	6	1	0	NA	NA
2140	crjori2_2140	30674	30943	30949	6	1	0	NA	NA
2140	crjori2_2140	30671	30943	30946	6	1	0	NA	NA
2230	dewaed2_2230	32561	32731	32927	6	1	0	NA	NA
2230	dewaed2_2230	32557	32855	32857	6	1	0	NA	NA
2230	dewaed2_2230	32556	32855	32856	6	1	0	NA	NA
2230	dewaed2_2230	32555	32645	32855	6	1	0	NA	NA
2230	dewaed2_2230	32431	32645	32728	6	1	0	NA	NA
2230	dewaed2_2230	32429	32728	32729	6	1	0	NA	NA
2230	dewaed2_2230	32427	32731	32732	6	1	0	NA	NA
2230	dewaed2_2230	32424	32730	32731	6	1	0	NA	NA
2230	dewaed2_2230	32423	32728	32730	6	1	0	NA	NA
2230	dewaed2_2230	32407	32726	32727	6	1	0	NA	NA
2230	dewaed2_2230	32405	32645	32727	6	1	0	NA	NA
2230	dewaed2_2230	32398	32722	32725	6	1	0	NA	NA
2230	dewaed2_2230	32397	32720	32722	6	1	0	NA	NA
2230	dewaed2_2230	32393	32723	32724	6	1	0	NA	NA
2230	dewaed2_2230	32392	32721	32723	6	1	0	NA	NA
2230	dewaed2_2230	32391	32720	32721	6	1	0	NA	NA
2230	dewaed2_2230	32390	32645	32720	6	1	0	NA	NA
2230	dewaed2_2230	32389	32645	32719	6	1	0	NA	NA
2230	dewaed2_2230	32384	32649	32651	6	1	0	NA	NA
2230	dewaed2_2230	32383	32649	32650	6	1	0	NA	NA
2230	dewaed2_2230	32382	32649	32652	6	1	0	NA	NA
2230	dewaed2_2230	32381	32645	32649	6	1	0	NA	NA
2230	dewaed2_2230	32380	32646	32648	6	1	0	NA	NA
2230	dewaed2_2230	32379	32646	32647	6	1	0	NA	NA
2230	dewaed2_2230	32378	32645	32646	6	1	0	NA	NA
2155	dheaku2_2155	31072	31238	31163	6	1	0	NA	NA
2155	dheaku2_2155	31061	31185	31163	6	0	0	NA	NA
2155	dheaku2_2155	31057	31163	31193	9	1	1	NA	NA
2155	dheaku2_2155	31056	31163	31191	9	1	1	NA	NA
2155	dheaku2_2155	31053	31187	31210	9	1	0	NA	NA
2155	dheaku2_2155	31051	31163	31187	9	1	1	NA	NA
2118	dinoro2_2118	30459	30614	30734	6	1	0	NA	NA
2118	dinoro2_2118	30452	30614	30725	6	1	0	NA	NA
2118	dinoro2_2118	30448	30614	30716	6	1	0	NA	NA
2118	dinoro2_2118	30430	30632	30674	6	1	1	NA	NA
2118	dinoro2_2118	30427	30623	30624	6	1	1	NA	NA
2118	dinoro2_2118	30419	30632	30634	6	1	1	NA	NA
2118	dinoro2_2118	30417	30627	30630	6	1	0	NA	NA
2118	dinoro2_2118	30415	30614	30637	6	1	0	NA	NA
2118	dinoro2_2118	30414	30623	30644	6	1	0	NA	NA
2118	dinoro2_2118	30412	30623	30643	6	1	0	NA	NA
2118	dinoro2_2118	30406	30614	30640	6	1	0	NA	NA
2118	dinoro2_2118	30405	30614	30628	6	1	0	NA	NA
2118	dinoro2_2118	30404	30614	30623	6	1	0	NA	NA
2118	dinoro2_2118	30403	30614	30624	6	1	0	NA	NA
2118	dinoro2_2118	30401	30614	30626	6	1	0	NA	NA
2118	dinoro2_2118	30400	30614	30632	6	1	0	NA	NA
2118	dinoro2_2118	30399	30614	30627	6	1	0	NA	NA
2118	dinoro2_2118	30398	30614	30620	6	1	0	NA	NA
2118	dinoro2_2118	30395	30614	30645	6	1	0	NA	NA
2118	dinoro2_2118	30392	30623	30644	6	1	0	NA	NA
2392	fastst2_2392	35648	39176	39170	6	1	0	NA	NA
2392	fastst2_2392	35647	39174	39170	6	1	0	NA	NA
2392	fastst2_2392	35646	39175	39170	6	1	0	NA	NA
2392	fastst2_2392	35643	39177	39182	6	1	0	NA	NA
2392	fastst2_2392	35642	39181	39182	6	1	0	NA	NA
2392	fastst2_2392	35641	39170	39182	9	0	0	NA	NA
2392	fastst2_2392	35640	39171	39178	6	1	0	NA	NA
2392	fastst2_2392	35639	39171	39179	6	1	0	NA	NA
2392	fastst2_2392	35638	39171	39180	6	1	0	NA	NA
2392	fastst2_2392	35636	39170	39171	6	1	1	NA	NA
2187	foblcr2_2187	31754	31790	31795	6	1	0	NA	NA
2187	foblcr2_2187	31753	31787	31795	6	1	0	NA	NA
2187	foblcr2_2187	31752	31793	31794	6	0	0	NA	NA
2187	foblcr2_2187	31751	31792	31794	6	1	0	NA	NA
2187	foblcr2_2187	31750	31792	31793	6	1	0	NA	NA
2187	foblcr2_2187	31749	31778	31792	6	1	0	NA	NA
2187	foblcr2_2187	31748	31787	31790	6	1	0	NA	NA
2187	foblcr2_2187	31747	31787	31788	6	1	0	NA	NA
2187	foblcr2_2187	31746	31785	31786	6	1	0	NA	NA
2187	foblcr2_2187	31745	31780	31791	6	1	0	NA	NA
