session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,First language,Nationality,Sex,Student Status
608eaa3de09295bbc45a1fdd,5ce740c8636a5b0018f55968,RETURNED,2021-05-02 13:34:15.791000,,78133.358661,59,596,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608eaa3df8a0535624b8f420,5e243c063d2e1b6bcce4c82f,AWAITING REVIEW,2021-05-02 13:34:23.896000,2021-05-02 14:07:10.977000,1967.081,37,294,2,100,,2A25E7C1,Germany,Australia,Full-Time,English,English,Australia,Female,No
608eaa3e40d66b7ab6700c49,5c5898e49fcbc40001dcbc42,AWAITING REVIEW,2021-05-02 13:33:50.089000,2021-05-02 14:23:02.602000,2952.513,59,550,7,98,,NOCODE,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Male,No
608eaa3e452162d4fc089bec,605b570718ffe578ceb2bd32,AWAITING REVIEW,2021-05-02 13:33:49.993000,2021-05-02 15:34:05.364000,7215.371,29,45,0,100,,2A25E7C1,United Kingdom,United Kingdom,Unemployed (and job seeking),,English,United Kingdom,Male,No
608eaa3ebdb78b70ebcf3d76,5d99f1a45a1126001c5c0a84,AWAITING REVIEW,2021-05-02 13:33:53.753000,2021-05-02 14:35:21.353000,3687.6,38,1165,0,100,,2A25E7C1,United States,United States,Full-Time,English,English,United States,Male,No
608eaa3ec9cc82d4356c69bb,608bfa04767191aa4d57bfd8,RETURNED,2021-05-02 13:33:53.906000,,78155.280681,38,6,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608eaa3ed2d8bd37cf379955,605efd6a0b405b9c9173f5a8,AWAITING REVIEW,2021-05-02 13:34:10.590000,2021-05-02 14:20:53.300000,2802.71,23,29,1,98,,2A25E7C1,Canada,United Kingdom,Part-Time,,English,Canada,Female,Yes
608eaa3ee23fd61e39301001,608570a0baed14fc93e6b0c3,AWAITING REVIEW,2021-05-02 13:33:50.141000,2021-05-02 14:40:57.073000,4026.932,21,11,0,100,,2A25E7C1,Ireland,,Part-Time,,English,Ireland,Female,Yes
608eaa3f400b989c32f61b52,5f217ac62c1f5e54b8b36ecb,AWAITING REVIEW,2021-05-02 13:34:04.453000,2021-05-02 14:54:04.451000,4799.998,46,207,2,100,,2A25E7C1,United States,United Kingdom,Part-Time,English,English,United Kingdom,Female,No
608eaa3f667b457ff97de013,60524fce05a8332eb23e2d34,AWAITING REVIEW,2021-05-02 13:33:54.164000,2021-05-02 14:59:30.974000,5136.81,34,37,1,99,,2A25E7C1,United States,United States,Unemployed (and job seeking),,English,United States,Male,No
608eaa3f667f4c0d7664067e,5f347f7a0bfd1e3a18693ec3,AWAITING REVIEW,2021-05-02 13:33:51.299000,2021-05-02 15:53:45.401000,8394.102,28,226,1,100,,2A25E7C1,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,English,United Kingdom,Female,No
608eaa3fd54dbdaa20155ee8,5b5e01bf9351420001b7a83a,RETURNED,2021-05-02 13:34:02.846000,,78146.384256,26,734,8,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608eaa4012083afc5cb583c8,5ad59462045cb000015c9960,RETURNED,2021-05-02 13:33:52.458000,,78156.77234,30,885,4,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608eaa4081f4022538c14808,5e3411400082f13d625e7880,RETURNED,2021-05-02 13:33:52.244000,,78156.986382,34,444,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608eaa4098bc7e099a22a36f,56f597c5736c79000b228052,AWAITING REVIEW,2021-05-02 13:33:51.939000,2021-05-02 14:38:13.464000,3861.525,35,951,7,100,,2A25E7C1,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
